,short,long,errors
0,10,20,6.794147653493998
1,10,30,7.467724149669285
2,10,40,8.6043926744719
3,10,50,8.919666945340694
4,10,60,10.126955523430878
5,10,70,10.831791528563915
6,10,80,11.313008559773369
7,10,90,11.74563256282593
8,20,30,8.530729060697263
9,20,40,9.194470262440802
10,20,50,9.345366886808234
11,20,60,10.868253628488521
12,20,70,11.484116509417156
13,20,80,12.417066849056251
14,20,90,12.847975730679483
15,30,40,8.893213528055636
16,30,50,9.636526882989417
17,30,60,10.891713317890552
18,30,70,12.679303809789353
19,30,80,13.378042309412825
20,30,90,13.609300657884376
21,40,50,8.707586383719553
22,40,60,12.509457329766903
23,40,70,13.263440228827545
24,40,80,13.910518443978843
25,40,90,14.132797995793515
